cycle_length,max_steps_reached
2,false
2,false
2,false
2,false
2,false
4,false
4,false
4,false
6,false
4,false
4,false
4,false
2,false
4,false
14,false
4,false
2,false
4,false
2,false
4,false
2,false
2,false
2,false
6,false
4,false
12,false
2,false
4,false
2,false
2,false
4,false
2,false
12,false
4,false
2,false
12,false
4,false
2,false
2,false
4,false
2,false
2,false
2,false
2,false
2,false
4,false
6,false
2,false
2,false
2,false
2,false
4,false
4,false
10,false
2,false
4,false
6,false
6,false
4,false
2,false
4,false
8,false
4,false
2,false
6,false
2,false
2,false
2,false
8,false
2,false
4,false
4,false
2,false
4,false
4,false
4,false
2,false
6,false
4,false
4,false
2,false
2,false
6,false
4,false
4,false
2,false
2,false
4,false
2,false
4,false
2,false
4,false
4,false
4,false
4,false
2,false
8,false
2,false
4,false
4,false
2,false
4,false
2,false
2,false
4,false
6,false
4,false
4,false
2,false
12,false
2,false
2,false
2,false
4,false
4,false
4,false
6,false
4,false
2,false
4,false
2,false
2,false
4,false
4,false
3,false
2,false
2,false
2,false
6,false
2,false
2,false
6,false
2,false
2,false
4,false
4,false
6,false
8,false
4,false
4,false
2,false
2,false
4,false
4,false
4,false
4,false
2,false
4,false
30,false
4,false
4,false
2,false
4,false
2,false
2,false
6,false
14,false
4,false
2,false
2,false
2,false
1,false
4,false
2,false
12,false
2,false
2,false
4,false
2,false
12,false
8,false
2,false
4,false
4,false
4,false
2,false
46,false
2,false
4,false
4,false
4,false
2,false
4,false
2,false
2,false
4,false
4,false
2,false
8,false
2,false
2,false
2,false
2,false
2,false
4,false
4,false
4,false
2,false
4,false
2,false
4,false
2,false
2,false
6,false
2,false
6,false
4,false
4,false
2,false
2,false
4,false
2,false
2,false
4,false
2,false
10,false
2,false
4,false
2,false
4,false
4,false
10,false
4,false
4,false
2,false
2,false
2,false
2,false
4,false
2,false
6,false
2,false
4,false
2,false
2,false
4,false
4,false
4,false
2,false
4,false
14,false
14,false
4,false
4,false
6,false
2,false
2,false
4,false
4,false
6,false
2,false
4,false
4,false
2,false
6,false
4,false
4,false
2,false
8,false
4,false
2,false
4,false
8,false
2,false
4,false
6,false
4,false
2,false
4,false
12,false
2,false
4,false
2,false
4,false
4,false
2,false
4,false
4,false
14,false
4,false
4,false
4,false
4,false
4,false
4,false
4,false
4,false
2,false
2,false
4,false
2,false
4,false
12,false
2,false
2,false
4,false
4,false
2,false
2,false
2,false
2,false
2,false
2,false
4,false
2,false
2,false
6,false
4,false
2,false
24,false
4,false
2,false
2,false
4,false
6,false
4,false
6,false
2,false
2,false
8,false
6,false
4,false
2,false
4,false
3,false
2,false
2,false
2,false
4,false
4,false
8,false
60,false
4,false
4,false
4,false
6,false
4,false
4,false
4,false
4,false
4,false
4,false
4,false
4,false
4,false
4,false
4,false
2,false
4,false
2,false
2,false
2,false
2,false
2,false
2,false
4,false
4,false
10,false
2,false
4,false
6,false
4,false
2,false
4,false
4,false
4,false
4,false
14,false
2,false
10,false
4,false
6,false
2,false
14,false
4,false
2,false
2,false
2,false
4,false
6,false
4,false
8,false
2,false
4,false
2,false
4,false
4,false
2,false
2,false
4,false
2,false
2,false
4,false
4,false
4,false
10,false
2,false
4,false
8,false
2,false
2,false
4,false
4,false
2,false
4,false
2,false
4,false
12,false
4,false
2,false
20,false
2,false
2,false
2,false
2,false
4,false
2,false
6,false
4,false
2,false
4,false
4,false
2,false
4,false
2,false
6,false
2,false
2,false
4,false
2,false
2,false
2,false
2,false
1,false
6,false
4,false
2,false
8,false
4,false
4,false
2,false
6,false
4,false
2,false
2,false
4,false
4,false
2,false
2,false
8,false
2,false
4,false
6,false
2,false
8,false
4,false
8,false
12,false
2,false
1,false
4,false
2,false
2,false
2,false
4,false
2,false
2,false
24,false
4,false
2,false
2,false
4,false
2,false
6,false
2,false
4,false
6,false
6,false
8,false
1,false
2,false
4,false
2,false
12,false
12,false
4,false
2,false
6,false
4,false
4,false
6,false
4,false
4,false
4,false
2,false
4,false
2,false
4,false
4,false
4,false
