cycle_length,max_steps_reached
2,false
1,false
4,false
6,false
1,false
7,false
12,false
1,false
1,false
1,false
4,false
4,false
2,false
2,false
6,false
13,false
4,false
1,false
2,false
1,false
14,false
4,false
2,false
3,false
1,false
1,false
1,false
1,false
4,false
1,false
1,false
1,false
6,false
20,false
1,false
10,false
8,false
1,false
2,false
4,false
1,false
1,false
1,false
1,false
2,false
1,false
2,false
1,false
8,false
1,false
1,false
5,false
2,false
4,false
1,false
1,false
1,false
3,false
2,false
1,false
4,false
1,false
4,false
1,false
2,false
1,false
4,false
1,false
2,false
4,false
1,false
2,false
1,false
3,false
2,false
1,false
5,false
2,false
2,false
4,false
2,false
17,false
2,false
2,false
8,false
2,false
2,false
4,false
4,false
4,false
4,false
8,false
1,false
1,false
4,false
2,false
6,false
2,false
1,false
1,false
4,false
3,false
4,false
4,false
2,false
6,false
4,false
1,false
1,false
2,false
2,false
10,false
2,false
1,false
5,false
2,false
1,false
21,false
9,false
6,false
2,false
4,false
1,false
1,false
8,false
1,false
18,false
1,false
1,false
2,false
1,false
2,false
1,false
2,false
2,false
2,false
1,false
1,false
1,false
4,false
2,false
3,false
1,false
2,false
1,false
2,false
1,false
1,false
1,false
8,false
4,false
2,false
1,false
4,false
2,false
26,false
1,false
2,false
2,false
4,false
2,false
30,false
2,false
1,false
3,false
19,false
2,false
31,false
1,false
5,false
1,false
4,false
2,false
1,false
6,false
6,false
1,false
6,false
3,false
10,false
38,false
2,false
1,false
2,false
21,false
4,false
2,false
1,false
1,false
5,false
4,false
1,false
2,false
2,false
2,false
2,false
3,false
1,false
2,false
4,false
1,false
2,false
1,false
4,false
2,false
12,false
1,false
6,false
1,false
3,false
2,false
6,false
2,false
1,false
9,false
4,false
1,false
1,false
1,false
12,false
13,false
2,false
1,false
4,false
3,false
1,false
1,false
2,false
4,false
4,false
2,false
5,false
1,false
1,false
4,false
6,false
6,false
1,false
4,false
8,false
4,false
2,false
4,false
2,false
1,false
4,false
6,false
4,false
1,false
4,false
6,false
4,false
12,false
24,false
1,false
1,false
2,false
2,false
5,false
2,false
4,false
12,false
8,false
1,false
4,false
3,false
8,false
2,false
7,false
2,false
4,false
1,false
2,false
2,false
2,false
6,false
4,false
1,false
2,false
5,false
1,false
4,false
2,false
4,false
6,false
10,false
2,false
6,false
4,false
5,false
1,false
1,false
3,false
1,false
4,false
2,false
4,false
2,false
3,false
1,false
1,false
2,false
3,false
2,false
6,false
10,false
3,false
2,false
2,false
5,false
4,false
4,false
4,false
1,false
2,false
2,false
2,false
3,false
1,false
4,false
3,false
4,false
4,false
4,false
3,false
6,false
1,false
2,false
2,false
2,false
3,false
1,false
11,false
2,false
4,false
5,false
5,false
1,false
1,false
6,false
2,false
1,false
2,false
1,false
8,false
8,false
14,false
5,false
8,false
2,false
4,false
1,false
4,false
2,false
2,false
12,false
1,false
4,false
2,false
4,false
1,false
2,false
1,false
1,false
6,false
1,false
1,false
1,false
2,false
4,false
2,false
2,false
4,false
2,false
3,false
1,false
1,false
1,false
4,false
1,false
4,false
4,false
1,false
4,false
1,false
6,false
1,false
1,false
2,false
1,false
9,false
1,false
2,false
6,false
1,false
4,false
2,false
4,false
1,false
2,false
8,false
1,false
2,false
1,false
1,false
4,false
2,false
2,false
1,false
1,false
2,false
4,false
1,false
8,false
1,false
19,false
4,false
4,false
1,false
3,false
4,false
1,false
6,false
8,false
31,false
2,false
2,false
2,false
1,false
1,false
8,false
10,false
4,false
2,false
3,false
12,false
2,false
2,false
4,false
1,false
3,false
4,false
1,false
1,false
2,false
1,false
1,false
8,false
2,false
2,false
9,false
1,false
1,false
1,false
1,false
4,false
1,false
1,false
1,false
2,false
4,false
1,false
12,false
4,false
2,false
2,false
1,false
10,false
4,false
4,false
1,false
2,false
8,false
2,false
1,false
2,false
2,false
2,false
2,false
8,false
6,false
1,false
4,false
2,false
2,false
4,false
1,false
8,false
5,false
2,false
1,false
1,false
4,false
1,false
2,false
4,false
6,false
4,false
2,false
2,false
